PaintingID,Title,HeightInches,WidthInches,ImageBaseName
137,"Jingle 2",12,9,"jingle2"
138,"Jumbo",40,33,"jumbo"
139,"Keep your dreams",12,9,"keepyourdreams"
140,"Late bloomer",12,9,"latebloomer"
141,"Millenium",40,33,"millenium"
142,"Moment #72",15,11,"moment72"
143,"Mudd club",40,33,"mudclub"
144,"My little drum",12,9,"mylittledrum"
145,"My morning jacket",40,33,"mymorningjacket"
146,"My Valentine",40,33,"myvalentine"
147,"Peppermint",40,33,"peppermint"
148,"Pino's",12,9,"pino's"
149,"Pompeii parking lot",12,9,"pompeiparkinglot"
150,"Presto's",40,33,"prestos"
151,"Rockport",12,9,"rockport(perfectstorm)"
152,"Rodeo Jones",12,9,"rodeojones"
153,"Rodeo Jones 2",40,33,"rodeojonespainting"
154,"Rum",15,20,"rum"
155,"Seltzer's",12,9,"seltzer's"
156,"Sesame Seeds",40,33,"sesameseeds"
157,"Shedd",12,9,"shedd"
158,"Sickle Messiah",40,33,"sicklemessiah"
159,"Spinning Away",40,33,"spinningaway"
160,"Stars",40,33,"stars"
161,"Statewide sleep disorder",12,9,"statewidesleepdisorder"
162,"Yalla Halla",4,8,"stoves(remix)digital"
163,"Yalla Jalla",4,8,"stovescolordigital"
164,"Summit Hill",11,15,"summithill"
165,"Teapot",11,15,"teapot"
166,"The city of gold and lead",12,9,"thecityofgold&lead"
167,"The field",12,9,"thefield"
168,"The spoke",12,9,"thespoke"
169,"Titch",39,31,"titch"
170,"Trashed at Grendel's",12,9,"trashedatgrendels"
171,"Underoo's",12,9,"underoo's"
172,"Vincent, Mooney brother's and me-trashed",11,15,"vincent,mooneybrosme"
173,"Wine from a paper bag",12,9,"winefromapaperbag"
174,"Wonderhorse logo 1",12,9,"wonderhorse1digital"
175,"Wonderhorse logo 2",12,9,"wonderhorse2digital"
176,"Wonderhorse logo 3",12,9,"wonderhorse3digital"
177,"Wonderhorse logo 4",12,9,"wonderhorse4digital"
178,"Work 4 peanuts",12,9,"work4peanuts"
179,"X-Ray style",12,9,"x-raystyle"
180,"Young team",12,9,"youngteam"
181,"Your bruise",12,9,"yourbruise"
182,"Bat 1",12,9,"bat2"
183,"Bat 2",12,9,"bat1"
184,"Bat 3",12,9,"bat3"
185,"Stars digital",12,9,"batman(remix)"
186,"Spinning digitally",12,9,"batman"
187,"Beached remix",12,9,"beached(remix)"
188,"Hong Kong Hello",12,9,"hongkonghello"
189,"Lion plate",12,9,"lion"
190,"Nite Cookie digital",12,9,"nitecookie(remix)"
191,"Yalla Yalla (lighter)",4,8,"stovesbestlighter"
192,"Strawberry Mouth",12,9,"strawberrymouth"
193,"The Cruise (colored)",12,9,"thecruise"
194,"Lets go native digitally",12,9,"letsgonative(black)"
195,"Mural",96,360,"fullmuralb"
196,"Young Influentials",41,33,"younginfluentials"
197,"Sad Gray Sky",40,30,"sadgraysky"
198,"Ape War",40,33,"apewar"
199,"Mission of the Day",48,30,"missionoftheday"
200,"Big Dig",41,33,"bigdig"
201,"She Bangs the Drum",40,33,"shebangsthedrum"
202,"Slave 2 the Wage",40,32,"slave2thewage"
